,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
97,2019,Amor Em Jogo,Ficção,Israel,Estrangeira,Elite Filmes,Distribuição Nacional,294.0,4880.0
98,2019,Amor À Segunda Vista,Ficção,"Bélgica, França",Estrangeira,Bonfilm,Distribuição Nacional,18505.0,286175.0
99,2019,Amores De Chumbo,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,73.0,425.0
100,2019,Angry Birds 2 - O Filme,Animação,"Estados Unidos, Finlândia",Estrangeira,Sony,Distribuição Internacional,891264.0,12436382.0
101,2019,Animais Fantásticos: Os Crimes De Grindelwald,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Warner,Distribuição Internacional,1071.0,16148.0
102,2019,Anna - O Perigo Tem Nome,Ficção,França,Estrangeira,Paris,Distribuição Nacional,100442.0,1704122.0
103,2019,Annabelle 3: De Volta Para Casa,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,1782048.0,26401779.0
104,2019,Anos 90,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,3854.0,60885.0
105,2019,Antes Que Tudo Desapareça,Ficção,Japão,Estrangeira,Zeta Filmes,Distribuição Nacional,4.0,28.0
106,2019,Antártica Por Um Ano,Documentário,Brasil,Brasileira,E.H. Produções,Distribuição Nacional,484.0,7712.0
107,2019,Antônio Um Dois Três,Ficção,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,742.0,7984.0
108,2019,Aquaman,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,2919358.0,46807467.0
109,2019,Aquarius,Ficção,"Brasil, França",Brasileira,Vitrine Filmes,Distribuição Nacional,158.0,1366.0
110,2019,Arranha-Céu : Coragem Sem Limite,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,64.0,512.0
111,2019,Arábia,Ficção,Brasil,Brasileira,Embaúba Filmes/Pique-Bandeira Filmes,Distribuição Nacional,31.0,252.0
112,2019,As Boas Maneiras,Ficção,"França, Brasil",Brasileira,Imovision,Distribuição Nacional,26.0,232.0
113,2019,As Filhas Do Fogo,Ficção,Argentina,Estrangeira,Vitrine Filmes,Distribuição Nacional,6089.0,73723.0
114,2019,As Golpistas,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,216825.0,3358896.0
